platform,video_id,channel,channel_id,title,date,views,likes,comments,duration,url,search_query,tags,description_snippet,channel_subscribers,title_clean,engagement_score,like_ratio,comment_ratio,is_viral,title_length,title_word_count,has_question,has_exclamation,title_caps_ratio,creator_tier,month,quarter,year_quarter,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_label,top_keywords,competitors_mentioned,features_mentioned,mentions_competitor,mentions_pain_point,ai_llm_content_category,ai_llm_sentiment,ai_llm_virality_potential,ai_llm_growth_type,ai_llm_target_audience,ai_llm_key_insight,classification_source
YouTube,Tkz5hU0NDLk,Elise Pham,UCQgwF5Od06EKCvhEh1tmQDw,"I lost everything at 9. A decade later, I’m at Harvard running a 7-figure business…here’s my journey",2025-07-31,36821793,988117,7161,PT41S,https://youtube.com/watch?v=Tkz5hU0NDLk,got into Harvard how,,,714000,"I lost everything at 9. A decade later, I’m at Harvard running a 7-figure business...here’s my journey",46846183,0.0268351136513097,0.0001944772216822,True,102,17,False,False,0.0392156862745098,Macro,7,3,2025Q3,-0.3182,0.0,0.15,Negative,harvard,,,False,True,success_story_acceptance,positive,high,organic,first_generation_students,,anthropic
YouTube,HYRbxb_6OrE,blogilates,UCIJwWYOfsCfz6PjxbONYXSg,Didn’t get accepted into Harvard but…😭😭😭,2024-12-28,32128704,0,12550,PT20S,https://youtube.com/watch?v=HYRbxb_6OrE,how to get into college,,Shop Blogilates at Target: https://bit.ly/3Ku6jZ0,11000000,Didn’t get accepted into Harvard but...😭😭😭,32379704,0.0,0.0003906164406756,True,42,6,False,False,0.0476190476190476,Mega,12,4,2024Q4,0.2732,0.296,0.0,Positive,accepted|harvard,,,False,False,rejection_reflection,mixed,medium,reactive,competitive_ivy_applicants,,anthropic
YouTube,bTh2FlhZviE,im_siowei,UCSgue5Dm418CCUCZ-aeUtEA,When You Enter Harvard,2023-11-14,30944634,994091,1715,PT40S,https://youtube.com/watch?v=bTh2FlhZviE,got into Harvard how,,What would happen if you were surrounded by TOP Students? #YAEY #school,18400000,When You Enter Harvard,40919844,0.0321248265531271,5.54215635576753e-05,True,22,4,False,False,0.1818181818181818,Mega,11,4,2023Q4,0.0,0.0,0.0,Neutral,harvard,,,False,False,success_story_acceptance,positive,high,organic,high_school_juniors_seniors,,anthropic
YouTube,tsMFas_cG_c,Gohar Khan,UCPk2s5c4R_d-EUUNvFFODoA,How to Nail the “Why Us?” College Essay,2023-07-07,16680313,764980,9692,PT28S,https://youtube.com/watch?v=tsMFas_cG_c,college essay tips,,"📝 I'll edit your college essay: https://nextadmit.com/services/essay/
🎓 Get into your dream school: https://nextadmit.com/roadmap/
💬 Join my Discord server: https://discord.gg/gohar",7510000,How to Nail the “Why Us?” College Essay,24523953,0.0458612497259493,0.0005810442525868,True,39,8,True,False,0.1538461538461538,Mega,7,3,2023Q3,0.0,0.0,0.0,Neutral,college essay|essay|college,,,False,False,essay_feedback,neutral,high,educational,high_school_juniors_seniors,,anthropic
YouTube,ZcnQ4wfL5Ew,Gen-Z,UCkV6trE1ceQnIDt3KyCPpgQ,The Power of Harvard University 👩‍🎓,2024-05-15,14785070,465536,4618,PT52S,https://youtube.com/watch?v=ZcnQ4wfL5Ew,got into Harvard how,Harvard University|English speech|most viral English speech|best speeches of Harvard University|usa,"#usa #harvarduniversity #englishspeech



Watch full video here 
https://youtu.be/AiGdwqdpPKE?si=sK1FqQciE8oytk_s


https://youtu.be/AiGdwqdpPKE?si=IuDf3NdnvjPx-QVi
 


Her insta Id 
https://www.insta",42100,The Power of Harvard University 👩‍🎓,19532790,0.0314868986078523,0.0003123421126852,True,35,6,False,False,0.1142857142857142,Mid,5,2,2024Q2,0.0,0.0,0.0,Neutral,harvard university|university|harvard,,,False,False,success_story_acceptance,positive,medium,organic,competitive_ivy_applicants,,anthropic
YouTube,Ln8FPbdhamc,Elise Pham,UCQgwF5Od06EKCvhEh1tmQDw,The REAL reason why I’m doing Pre-med at Harvard…,2025-05-28,11616310,268156,1174,PT8S,https://youtube.com/watch?v=Ln8FPbdhamc,got into Harvard how,,"I’m a Harvard pre-med student now

but the reason why started way before college apps ever opened…

my mom’s cancer battle changed everything for me

and when it came time to write my personal stateme",714000,The REAL reason why I’m doing Pre-med at Harvard...,14321350,0.0230844390344265,0.0001010647959636,True,51,9,False,False,0.1568627450980392,Macro,5,2,2025Q2,0.0,0.0,0.0,Neutral,harvard,,,False,False,success_story_acceptance,positive,medium,organic,competitive_ivy_applicants,,anthropic
YouTube,JnPOzUH07GI,Gohar Khan,UCPk2s5c4R_d-EUUNvFFODoA,My Brother Got Into Harvard,2025-04-19,9966686,265435,1578,PT36S,https://youtube.com/watch?v=JnPOzUH07GI,got into Harvard how,,,7510000,My Brother Got Into Harvard,12652596,0.026632222586324,0.0001583274520738,True,27,5,False,False,0.1851851851851851,Mega,4,2,2025Q2,0.0,0.0,0.0,Neutral,got harvard|got|harvard,,,False,False,success_story_acceptance,positive,medium,organic,anxious_parents,,anthropic
YouTube,tCweT1mrG-A,Gohar Khan,UCPk2s5c4R_d-EUUNvFFODoA,Going to a Harvard Graduation,2023-05-30,9853408,633061,1804,PT29S,https://youtube.com/watch?v=tCweT1mrG-A,how to get into college,,"💬 Join my Discord server: https://discord.gg/gohar
🎓 Get into your dream school: https://nextadmit.com/roadmap/
📝 I'll edit your college essay: https://nextadmit.com/services/essay/",7510000,Going to a Harvard Graduation,16220098,0.0642479231551154,0.0001830838629639,True,29,5,False,False,0.1034482758620689,Mega,5,2,2023Q2,0.0,0.0,0.0,Neutral,going|going harvard|harvard,,,False,False,success_story_acceptance,positive,medium,organic,high_school_juniors_seniors,,anthropic
YouTube,CXWWKJ46KFc,Washington Post Universe,UCYBARVyitZWkFKovnC2jf2g,Harvard SUES Trump admin for blocking international student admissions,2025-05-23,9361929,299567,3910,PT35S,https://youtube.com/watch?v=CXWWKJ46KFc,international student US college,,"A federal judge in Massachusetts on Friday blocked the Trump administration's effort to ban international students from Harvard University, an unprecedented tactic by the federal government as it trie",687000,Harvard SUES Trump admin for blocking international student admissions,12435799,0.0319984268199427,0.0004176489695659,True,70,9,False,False,0.0857142857142857,Macro,5,2,2025Q2,-0.3818,0.0,0.245,Negative,international|student|admissions|harvard,,,False,False,frustration_anxiety,negative,high,reactive,international_students,,anthropic
YouTube,HSaFXiCR9hw,Elise Pham,UCQgwF5Od06EKCvhEh1tmQDw,FIRST-GEN HARVARD DECISION FAMILY REACTION,2023-12-22,9059545,502193,1805,PT13S,https://youtube.com/watch?v=HSaFXiCR9hw,how to get into college,,"Hello! My name is Elise, I am a Pre-Med student at Harvard University, 5-Star College Admissions Counselor, and full-time entrepreneur and content creator! 🤓📚

Subscribe to get undercover footage of m",714000,FIRST-GEN HARVARD DECISION FAMILY REACTION,14117575,0.0554324748097172,0.0001992373789191,True,42,5,False,False,0.8809523809523809,Macro,12,4,2023Q4,0.0,0.0,0.0,Neutral,decision|gen|harvard,,,False,False,success_story_acceptance,positive,high,organic,first_generation_students,,anthropic
