platform,video_id,channel,channel_id,title,date,views,likes,comments,duration,url,search_query,tags,description_snippet,channel_subscribers
YouTube,C-WicQ_nlbI,Prompt Guard,UCWpSwgGQUqP9RBzgR2iDVrQ,Gemini vs Chatgpt vs Qwen vs GLm - Which Ai model is best?,2025-11-22,13373387,70787,1391,PT9S,https://youtube.com/watch?v=C-WicQ_nlbI,Claude vs GPT-4,Best ai chatbot|Chatgptvsgemini|Claude artifact|Claude vs chatgpt|ai,"Which AI is actually better for CSS animations? We tested ChatGPT, GLM 4.5, Gemini, and Qwen with the EXACT same prompt to find out.

🔥 The Prompt We Used:
""Create an HTML animation where a ball start",6360
YouTube,FooC7gp4wk4,Dhruv Rathee,UC-CSyyi47VX1lD9zyeABW3w,Deepseek | China&#39;s New AI Model Destroys American ChatGPT | Dhruv Rathee,2025-02-04,10266411,354610,18812,PT19M39S,https://youtube.com/watch?v=FooC7gp4wk4,best AI model 2025,Dhruv Rathee|Dhruv|Rathee|Dhruv Rathee latest video|indian youtuber,"🤖 Join AI Chatbots Course: https://academy.dhruvrathee.com/chatgpt
Use coupon code: DEEP46 for a 46% discount!
Note: The Course is in Hindi with English Subtitles

A groundbreaking AI chatbot named 'D",31800000
YouTube,Tk_Fxt0q40Q,RayRey,UC0Y2ZFbsgwG_7TgwSekJ50A,99999+ IQ PLAY FROM CLAUDE SKYLAR 🥶 #oura #ouragaming #skylar #mplindonesia #rrq,2024-09-22,7288978,100574,344,PT24S,https://youtube.com/watch?v=Tk_Fxt0q40Q,Claude review,,"#rrqvsgeekfam #rrqvsgeek
Claude skylar teleportasi chip lawan geek fam",6340
YouTube,55xm9gR4h-U,AI Code Arena,UCPb-8VQEkbbyjTPbVObvn1Q,9 ChatGPT vs Gemini vs DeepSeek vs Claude — Chaotic Double Pendulum Animation (HTML/CSS/JS),2025-12-10,6779497,30628,880,PT7S,https://youtube.com/watch?v=55xm9gR4h-U,Claude vs ChatGPT,ai coding battle|ai vs ai|chatgpt vs gemini|chatgpt vs deepseek|chatgpt vs claude,"Four AI models, one prompt.
I asked ChatGPT, Gemini, DeepSeek and Claude to write HTML/CSS/JS code that animates a double pendulum using gravity-based equations:

“Write HTML/CSS/JS code that animates",12000
YouTube,WEBiebbeNCA,CNBC,UCvJJ_dzjViJCoLf5uKUTwoA,How China’s New AI Model DeepSeek Is Threatening U.S. Dominance,2025-01-24,5959560,65552,16610,PT40M25S,https://youtube.com/watch?v=WEBiebbeNCA,best AI model 2025,OpenAI|artificial intelligence|AI|Grok|Chat GPT,A little-known AI lab out of China has ignited panic throughout Silicon Valley after releasing AI models that can outperform America’s best despite being built more cheaply and with less-powerful chip,4140000
YouTube,I6gVSq3T0BY,Choss,UC0yaN6lChea3u8DECeD8i4A,Claude le CHAUFFEUR de BUS #3 Tu DANSES pas tu MONTES pas,2025-09-21,4480449,191044,1404,PT49S,https://youtube.com/watch?v=I6gVSq3T0BY,Claude 3,animation|humour|drole,,1500000
YouTube,PAtlYn8M4ag,CarterPCs,UCi7wDE2ZTiR5QYYrUY5WhtA,It’s time to switch from ChatGPT #carterpcs #tech #chatgpt #ai #claude,2026-03-04,3912585,135275,2732,PT34S,https://youtube.com/watch?v=PAtlYn8M4ag,Claude AI,,It’s time to switch from ChatGPT #carterpcs #tech #chatgpt #ai #claude,2240000
YouTube,h3AtWdeu_G0,Senator Bernie Sanders,UCD_DaKNac0Ta-2PeHuoQ1uA,Bernie vs. Claude,2026-03-19,3614482,190786,17845,PT9M18S,https://youtube.com/watch?v=h3AtWdeu_G0,Claude AI,bernie sanders|senate|senator|bernard sanders|congress,"I spoke to Anthropic’s AI agent Claude about AI collecting massive amounts of personal data and how that information is being used to violate our privacy rights.

What an AI agent says about the dange",1290000
YouTube,Aq1WyzeNdXY,Alberta Tech,UCkdgAA0rfK7lG5dv4o__Paw,Claude vs the US Government,2026-03-01,3297495,117446,2915,PT43S,https://youtube.com/watch?v=Aq1WyzeNdXY,Claude AI,,,417000
YouTube,mBHRPeg8zPU,Fireship,UCsBjURrPoezykLs9EqgamOA,Tragic mistake... Anthropic leaks Claude’s source code,2026-04-01,2651307,91294,4697,PT7M22S,https://youtube.com/watch?v=mBHRPeg8zPU,Claude AI,webdev|app development|lesson|tutorial|anthropic,"Anthropic accidentally leaked Claude Code's source code to the entire internet. Let's take a look...

#coding #programming #claude #ai

🔖 Topics Covered
- Claude source code leak
- What's in the leak?",4170000
