platform,video_id,channel,channel_id,title,date,views,likes,comments,duration,url,search_query,tags,description_snippet,channel_subscribers,title_clean
YouTube,dbixoi6HWnU,Gohar Khan,UCPk2s5c4R_d-EUUNvFFODoA,Mistakes to Avoid in College,2024-05-03,42992600,1586938,5337,PT32S,https://youtube.com/watch?v=dbixoi6HWnU,college application mistakes to avoid,,"💬 Join my Discord server: https://discord.gg/gohar
📝 I'll edit your college essay: https://nextadmit.com/services/essay/
🎓 Get into your dream school: https://nextadmit.com/roadmap/",7510000,Mistakes to Avoid in College
YouTube,T2vv3oDyqG8,Gohar Khan,UCPk2s5c4R_d-EUUNvFFODoA,Resume Red Flags,2024-11-03,25730331,1166111,1303,PT34S,https://youtube.com/watch?v=T2vv3oDyqG8,how to build college resume high school,,"🎓 The ultimate study tool: https://www.goharsguide.com/notion
📝 I'll edit your college essay: https://nextadmit.com/services/essay/
💬 Join my Discord server: https://discord.gg/gohar",7510000,Resume Red Flags
YouTube,znlWTLJFw4E,Gohar Khan,UCPk2s5c4R_d-EUUNvFFODoA,Resume Tips You Should Use,2023-02-18,19877365,972855,3931,PT28S,https://youtube.com/watch?v=znlWTLJFw4E,how to build college resume high school,,"🎓 Get into your dream school: https://nextadmit.com/roadmap/
📝 I'll edit your college essay: https://nextadmit.com/services/essay/
💬 Join my Discord server: https://discord.gg/gohar",7510000,Resume Tips You Should Use
YouTube,tsMFas_cG_c,Gohar Khan,UCPk2s5c4R_d-EUUNvFFODoA,How to Nail the “Why Us?” College Essay,2023-07-07,16680045,764981,9692,PT28S,https://youtube.com/watch?v=tsMFas_cG_c,writing college essays tips,,"📝 I'll edit your college essay: https://nextadmit.com/services/essay/
🎓 Get into your dream school: https://nextadmit.com/roadmap/
💬 Join my Discord server: https://discord.gg/gohar",7510000,How to Nail the “Why Us?” College Essay
YouTube,jRjufe0HgOc,Gohar Khan,UCPk2s5c4R_d-EUUNvFFODoA,How to Nail Your College Interview,2024-11-25,9300972,457154,817,PT51S,https://youtube.com/watch?v=jRjufe0HgOc,writing college essays tips,,"🎓 The ultimate study tool: https://www.notion.so/templates/scholar-os
📝 I'll edit your college essay: https://nextadmit.com/services/essay/
💬 Join my Discord server: https://discord.gg/gohar",7510000,How to Nail Your College Interview
YouTube,ypLPucQ9dYs,Gohar Khan,UCPk2s5c4R_d-EUUNvFFODoA,How Harvard Chooses Students,2024-04-01,6766133,347357,1027,PT32S,https://youtube.com/watch?v=ypLPucQ9dYs,common app essay that got me accepted,,"💬 Join my Discord server: https://discord.gg/gohar
📝 I'll edit your college essay: https://nextadmit.com/services/essay/
🎓 Get into your dream school: https://nextadmit.com/roadmap/",7510000,How Harvard Chooses Students
YouTube,a2w5VpflZpk,Karat,UCGDMcgLb89_NSbRFTQi1VgA,I Got Accepted Into Harvard and Hated It,2023-04-27,5636722,232818,3367,PT41S,https://youtube.com/watch?v=a2w5VpflZpk,I got into Harvard here's how,,,95800,I Got Accepted Into Harvard and Hated It
YouTube,CVxP7OdsdOE,Limmytalks,UCNJS6U4h4oo-0q6OsMpu4Ag,What Harvard *Actually* Wants.,2023-08-16,5158662,176890,5741,PT40S,https://youtube.com/watch?v=CVxP7OdsdOE,best extracurriculars for college,College|college admission|college admission tips|applying to usa|university,"If you're a high school student and want to better understand how strong your application is, what your chances are to 40+ universities, and how to improve your application, go to dreamschool.ai and s",78600,What Harvard *Actually* Wants.
YouTube,nH9qRcOMW9M,Quizard AI,UCsG0dK0d71SO_RHGB-gXXCg,Asking Harvard students about their major and expected salary 💰 #students #harvard #streetinterview,2023-10-06,5155896,143062,3004,PT51S,https://youtube.com/watch?v=nH9qRcOMW9M,college admissions consultant review,,,82900,Asking Harvard students about their major and expected salary 💰 #students #harvard #streetinterview
YouTube,J8Npi6Z5yD0,Elise Pham,UCQgwF5Od06EKCvhEh1tmQDw,Having Straight As can get you REJECTED from every college (Ep. 3 of Mastering High School),2025-07-15,5095703,168537,735,PT53S,https://youtube.com/watch?v=J8Npi6Z5yD0,rejected from every college what I learned,,,714000,Having Straight As can get you REJECTED from every college (Ep. 3 of Mastering High School)
