platform,video_id,channel,channel_id,title,date,views,likes,comments,duration,url,search_query,tags,description_snippet,channel_subscribers,title_clean,engagement_score,like_ratio,comment_ratio,is_viral,title_length,title_word_count,has_question,has_exclamation,title_caps_ratio,creator_tier,month,quarter,year_quarter
YouTube,dbixoi6HWnU,Gohar Khan,UCPk2s5c4R_d-EUUNvFFODoA,Mistakes to Avoid in College,2024-05-03,42992600,1586938,5337,PT32S,https://youtube.com/watch?v=dbixoi6HWnU,college application mistakes to avoid,,"💬 Join my Discord server: https://discord.gg/gohar
📝 I'll edit your college essay: https://nextadmit.com/services/essay/
🎓 Get into your dream school: https://nextadmit.com/roadmap/",7510000,Mistakes to Avoid in College,58968720,0.036911887161976714,0.0001241376422919293,True,28,5,False,False,0.10714285714285714,Mega,5,2,2024Q2
YouTube,T2vv3oDyqG8,Gohar Khan,UCPk2s5c4R_d-EUUNvFFODoA,Resume Red Flags,2024-11-03,25730331,1166111,1303,PT34S,https://youtube.com/watch?v=T2vv3oDyqG8,how to build college resume high school,,"🎓 The ultimate study tool: https://www.goharsguide.com/notion
📝 I'll edit your college essay: https://nextadmit.com/services/essay/
💬 Join my Discord server: https://discord.gg/gohar",7510000,Resume Red Flags,37417501,0.04532048188575576,5.0640623317282625e-05,True,16,3,False,False,0.1875,Mega,11,4,2024Q4
YouTube,znlWTLJFw4E,Gohar Khan,UCPk2s5c4R_d-EUUNvFFODoA,Resume Tips You Should Use,2023-02-18,19877365,972855,3931,PT28S,https://youtube.com/watch?v=znlWTLJFw4E,how to build college resume high school,,"🎓 Get into your dream school: https://nextadmit.com/roadmap/
📝 I'll edit your college essay: https://nextadmit.com/services/essay/
💬 Join my Discord server: https://discord.gg/gohar",7510000,Resume Tips You Should Use,29684535,0.04894285535331268,0.0001977626310127122,True,26,5,False,False,0.19230769230769232,Mega,2,1,2023Q1
YouTube,tsMFas_cG_c,Gohar Khan,UCPk2s5c4R_d-EUUNvFFODoA,How to Nail the “Why Us?” College Essay,2023-07-07,16680045,764981,9692,PT28S,https://youtube.com/watch?v=tsMFas_cG_c,writing college essays tips,,"📝 I'll edit your college essay: https://nextadmit.com/services/essay/
🎓 Get into your dream school: https://nextadmit.com/roadmap/
💬 Join my Discord server: https://discord.gg/gohar",7510000,How to Nail the “Why Us?” College Essay,24523695,0.045862046535246156,0.0005810535882846839,True,39,8,True,False,0.15384615384615385,Mega,7,3,2023Q3
YouTube,jRjufe0HgOc,Gohar Khan,UCPk2s5c4R_d-EUUNvFFODoA,How to Nail Your College Interview,2024-11-25,9300972,457154,817,PT51S,https://youtube.com/watch?v=jRjufe0HgOc,writing college essays tips,,"🎓 The ultimate study tool: https://www.notion.so/templates/scholar-os
📝 I'll edit your college essay: https://nextadmit.com/services/essay/
💬 Join my Discord server: https://discord.gg/gohar",7510000,How to Nail Your College Interview,13888852,0.04915120699212942,8.784028163938134e-05,True,34,6,False,False,0.14705882352941177,Mega,11,4,2024Q4
YouTube,ypLPucQ9dYs,Gohar Khan,UCPk2s5c4R_d-EUUNvFFODoA,How Harvard Chooses Students,2024-04-01,6766133,347357,1027,PT32S,https://youtube.com/watch?v=ypLPucQ9dYs,common app essay that got me accepted,,"💬 Join my Discord server: https://discord.gg/gohar
📝 I'll edit your college essay: https://nextadmit.com/services/essay/
🎓 Get into your dream school: https://nextadmit.com/roadmap/",7510000,How Harvard Chooses Students,10260243,0.051337595639931996,0.00015178536987079622,True,28,4,False,False,0.14285714285714285,Mega,4,2,2024Q2
YouTube,a2w5VpflZpk,Karat,UCGDMcgLb89_NSbRFTQi1VgA,I Got Accepted Into Harvard and Hated It,2023-04-27,5636722,232818,3367,PT41S,https://youtube.com/watch?v=a2w5VpflZpk,I got into Harvard here's how,,,95800,I Got Accepted Into Harvard and Hated It,8032242,0.04130379323301735,0.0005973329889251235,True,40,8,False,False,0.175,Mid,4,2,2023Q2
YouTube,CVxP7OdsdOE,Limmytalks,UCNJS6U4h4oo-0q6OsMpu4Ag,What Harvard *Actually* Wants.,2023-08-16,5158662,176890,5741,PT40S,https://youtube.com/watch?v=CVxP7OdsdOE,best extracurriculars for college,College|college admission|college admission tips|applying to usa|university,"If you're a high school student and want to better understand how strong your application is, what your chances are to 40+ universities, and how to improve your application, go to dreamschool.ai and s",78600,What Harvard *Actually* Wants.,7042382,0.03428989920254515,0.001112885473016065,True,30,4,False,False,0.13333333333333333,Mid,8,3,2023Q3
YouTube,nH9qRcOMW9M,Quizard AI,UCsG0dK0d71SO_RHGB-gXXCg,Asking Harvard students about their major and expected salary 💰 #students #harvard #streetinterview,2023-10-06,5155896,143062,3004,PT51S,https://youtube.com/watch?v=nH9qRcOMW9M,college admissions consultant review,,,82900,Asking Harvard students about their major and expected salary 💰 #students #harvard #streetinterview,6646596,0.027747262551455654,0.000582633939862247,True,99,13,False,False,0.020202020202020204,Mid,10,4,2023Q4
YouTube,J8Npi6Z5yD0,Elise Pham,UCQgwF5Od06EKCvhEh1tmQDw,Having Straight As can get you REJECTED from every college (Ep. 3 of Mastering High School),2025-07-15,5095703,168537,735,PT53S,https://youtube.com/watch?v=J8Npi6Z5yD0,rejected from every college what I learned,,,714000,Having Straight As can get you REJECTED from every college (Ep. 3 of Mastering High School),6795773,0.033074337338734223,0.00014423917563484372,True,91,16,False,False,0.16483516483516483,Macro,7,3,2025Q3
YouTube,li3OlWRer0E,Gohar Khan,UCPk2s5c4R_d-EUUNvFFODoA,How to Get Into a Top College,2023-06-25,4711980,242244,1284,PT29S,https://youtube.com/watch?v=li3OlWRer0E,how to get into college 2024,,"📧 Join my newsletter: https://nextadmit.com/gohar/
💬 Join my Discord server: https://discord.gg/gohar
📝 I'll edit your college essay: https://nextadmit.com/services/essay/",7510000,How to Get Into a Top College,7160100,0.05141023518775546,0.0002724969121261126,True,29,7,False,False,0.1724137931034483,Mega,6,2,2023Q2
YouTube,emOmM99XYig,Ashton Herndon,UCWNMLFfMYNk7E-8JOCdKpEg,How Duke Students Got Into Duke! #college #collegeadmissions #duke,2024-09-23,4310496,145272,1519,PT1M,https://youtube.com/watch?v=emOmM99XYig,best extracurriculars for college,,,108000,How Duke Students Got Into Duke! #college #collegeadmissions #duke,5793596,0.0337019220061914,0.0003523956407800866,True,66,9,False,True,0.09090909090909091,Macro,9,3,2024Q3
YouTube,QKwIFVx_7PQ,Gohar Khan,UCPk2s5c4R_d-EUUNvFFODoA,Important College Application Advice,2023-07-10,4199677,263521,600,PT29S,https://youtube.com/watch?v=QKwIFVx_7PQ,college admissions process explained,,"🏆 My brag sheet template: https://nextadmit.com/gohar/
📝 I'll edit your college essay: https://nextadmit.com/services/essay/
💬 Join my Discord server for help: https://discord.gg/gohar",7510000,Important College Application Advice,6846887,0.06274792085200838,0.00014286813009667173,True,36,4,False,False,0.1111111111111111,Mega,7,3,2023Q3
YouTube,f6LDfPGCUDY,College Life,UCsc8IWsxszII-1Nhl4v5Fkg,they’re there to fix your essays,2025-10-07,4006566,212090,1534,PT1M11S,https://youtube.com/watch?v=f6LDfPGCUDY,writing college essays tips,,,901000,they’re there to fix your essays,6158146,0.05293560620241873,0.00038287151640581987,True,32,6,False,False,0.0,Macro,10,4,2025Q4
YouTube,lzuiuRgwwrc,Apna College,UCBwmMxybNva6P_5VmxjzwqA,How to create a Great LinkedIn Profile in 2024 | for College Students,2023-10-16,3480182,99899,1311,PT19M9S,https://youtube.com/watch?v=lzuiuRgwwrc,how to get into college 2024,C++|C++ coding|C++ full course|C++ placement course|how to code,"Hi, if you want to learn Complete Full Stack Development from me then you can study from 
🔥Delta 2.0 (Full Stack Web Development)  : https://www.apnacollege.in/course/delta-batch-2
International Stude",7500000,How to create a Great LinkedIn Profile in 2024 | for College Students,4505392,0.028705107951250825,0.0003767044367219875,True,69,13,False,False,0.10144927536231885,Mega,10,4,2023Q4
