platform,video_id,channel,channel_id,title,date,views,likes,comments,duration,url,search_query,tags,description_snippet,channel_subscribers,title_clean,engagement_score,like_ratio,comment_ratio,is_viral,title_length,title_word_count,has_question,has_exclamation,title_caps_ratio,creator_tier,month,quarter,year_quarter,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_label,top_keywords,competitors_mentioned,features_mentioned,mentions_competitor,mentions_pain_point
YouTube,dbixoi6HWnU,Gohar Khan,UCPk2s5c4R_d-EUUNvFFODoA,Mistakes to Avoid in College,2024-05-03,42992600,1586938,5337,PT32S,https://youtube.com/watch?v=dbixoi6HWnU,college application mistakes to avoid,,"💬 Join my Discord server: https://discord.gg/gohar
📝 I'll edit your college essay: https://nextadmit.com/services/essay/
🎓 Get into your dream school: https://nextadmit.com/roadmap/",7510000,Mistakes to Avoid in College,58968720,0.0369118871619767,0.0001241376422919,True,28,5,False,False,0.1071428571428571,Mega,5,2,2024Q2,-0.5719,0.0,0.61,Negative,avoid college|mistakes avoid|mistakes|avoid|college,,,False,False
YouTube,T2vv3oDyqG8,Gohar Khan,UCPk2s5c4R_d-EUUNvFFODoA,Resume Red Flags,2024-11-03,25730331,1166111,1303,PT34S,https://youtube.com/watch?v=T2vv3oDyqG8,how to build college resume high school,,"🎓 The ultimate study tool: https://www.goharsguide.com/notion
📝 I'll edit your college essay: https://nextadmit.com/services/essay/
💬 Join my Discord server: https://discord.gg/gohar",7510000,Resume Red Flags,37417501,0.0453204818857557,5.064062331728263e-05,True,16,3,False,False,0.1875,Mega,11,4,2024Q4,0.0,0.0,0.0,Neutral,resume,,,False,False
YouTube,znlWTLJFw4E,Gohar Khan,UCPk2s5c4R_d-EUUNvFFODoA,Resume Tips You Should Use,2023-02-18,19877365,972855,3931,PT28S,https://youtube.com/watch?v=znlWTLJFw4E,how to build college resume high school,,"🎓 Get into your dream school: https://nextadmit.com/roadmap/
📝 I'll edit your college essay: https://nextadmit.com/services/essay/
💬 Join my Discord server: https://discord.gg/gohar",7510000,Resume Tips You Should Use,29684535,0.0489428553533126,0.0001977626310127,True,26,5,False,False,0.1923076923076923,Mega,2,1,2023Q1,0.0,0.0,0.0,Neutral,tips|resume,,,False,False
YouTube,tsMFas_cG_c,Gohar Khan,UCPk2s5c4R_d-EUUNvFFODoA,How to Nail the “Why Us?” College Essay,2023-07-07,16680045,764981,9692,PT28S,https://youtube.com/watch?v=tsMFas_cG_c,writing college essays tips,,"📝 I'll edit your college essay: https://nextadmit.com/services/essay/
🎓 Get into your dream school: https://nextadmit.com/roadmap/
💬 Join my Discord server: https://discord.gg/gohar",7510000,How to Nail the “Why Us?” College Essay,24523695,0.0458620465352461,0.0005810535882846,True,39,8,True,False,0.1538461538461538,Mega,7,3,2023Q3,0.0,0.0,0.0,Neutral,nail|college essay|essay|college,,,False,False
YouTube,jRjufe0HgOc,Gohar Khan,UCPk2s5c4R_d-EUUNvFFODoA,How to Nail Your College Interview,2024-11-25,9300972,457154,817,PT51S,https://youtube.com/watch?v=jRjufe0HgOc,writing college essays tips,,"🎓 The ultimate study tool: https://www.notion.so/templates/scholar-os
📝 I'll edit your college essay: https://nextadmit.com/services/essay/
💬 Join my Discord server: https://discord.gg/gohar",7510000,How to Nail Your College Interview,13888852,0.0491512069921294,8.784028163938134e-05,True,34,6,False,False,0.1470588235294117,Mega,11,4,2024Q4,0.0,0.0,0.0,Neutral,nail|college,,,False,False
YouTube,ypLPucQ9dYs,Gohar Khan,UCPk2s5c4R_d-EUUNvFFODoA,How Harvard Chooses Students,2024-04-01,6766133,347357,1027,PT32S,https://youtube.com/watch?v=ypLPucQ9dYs,common app essay that got me accepted,,"💬 Join my Discord server: https://discord.gg/gohar
📝 I'll edit your college essay: https://nextadmit.com/services/essay/
🎓 Get into your dream school: https://nextadmit.com/roadmap/",7510000,How Harvard Chooses Students,10260243,0.0513375956399319,0.0001517853698707,True,28,4,False,False,0.1428571428571428,Mega,4,2,2024Q2,0.0,0.0,0.0,Neutral,students|harvard,,,False,False
YouTube,a2w5VpflZpk,Karat,UCGDMcgLb89_NSbRFTQi1VgA,I Got Accepted Into Harvard and Hated It,2023-04-27,5636722,232818,3367,PT41S,https://youtube.com/watch?v=a2w5VpflZpk,I got into Harvard here's how,,,95800,I Got Accepted Into Harvard and Hated It,8032242,0.0413037932330173,0.0005973329889251,True,40,8,False,False,0.175,Mid,4,2,2023Q2,-0.4767,0.186,0.372,Negative,accepted|got|harvard,,,False,False
YouTube,CVxP7OdsdOE,Limmytalks,UCNJS6U4h4oo-0q6OsMpu4Ag,What Harvard *Actually* Wants.,2023-08-16,5158662,176890,5741,PT40S,https://youtube.com/watch?v=CVxP7OdsdOE,best extracurriculars for college,College|college admission|college admission tips|applying to usa|university,"If you're a high school student and want to better understand how strong your application is, what your chances are to 40+ universities, and how to improve your application, go to dreamschool.ai and s",78600,What Harvard *Actually* Wants.,7042382,0.0342898992025451,0.001112885473016,True,30,4,False,False,0.1333333333333333,Mid,8,3,2023Q3,0.0,0.0,0.0,Neutral,actually|harvard,,,False,False
YouTube,nH9qRcOMW9M,Quizard AI,UCsG0dK0d71SO_RHGB-gXXCg,Asking Harvard students about their major and expected salary 💰 #students #harvard #streetinterview,2023-10-06,5155896,143062,3004,PT51S,https://youtube.com/watch?v=nH9qRcOMW9M,college admissions consultant review,,,82900,Asking Harvard students about their major and expected salary 💰 #students #harvard #streetinterview,6646596,0.0277472625514556,0.0005826339398622,True,99,13,False,False,0.0202020202020202,Mid,10,4,2023Q4,0.0,0.0,0.0,Neutral,students|harvard|salary|harvard students|asking,,,False,False
YouTube,J8Npi6Z5yD0,Elise Pham,UCQgwF5Od06EKCvhEh1tmQDw,Having Straight As can get you REJECTED from every college (Ep. 3 of Mastering High School),2025-07-15,5095703,168537,735,PT53S,https://youtube.com/watch?v=J8Npi6Z5yD0,rejected from every college what I learned,,,714000,Having Straight As can get you REJECTED from every college (Ep. 3 of Mastering High School),6795773,0.0330743373387342,0.0001442391756348,True,91,16,False,False,0.1648351648351648,Macro,7,3,2025Q3,-0.4824,0.1,0.213,Negative,mastering high|college ep|mastering|rejected college|ep,,,False,False
