pain_point,ad_count,avg_days,max_days,competitors
zero_local_guidance,2,16,16,collegehubkz
process_complexity,2,9,15,"Promova, weglobal.io"
uncertainty_about_chances,11,8,19,", DramaBox, Meme shorts, ReelShort, jtstudy.kz"
information_asymmetry,16,6,13,"""BІOГЛАЗ"" opтaлығы, Doro.Kazakhstan, James Cook University, Meme shorts, Qadaz Media, SHIPA MED, Search Wearhouse Job, Urpaq, al_kuat.kz, collamin_kz, qion.cosmetics, qion_collagenn"
process_ignorance,14,6,17,", App Development Course, EWA English Language Learning, Employment, Nursing Degree, Promova, TopicBright-110, Words Booster: Learn Languages, raza.perfume, university23"
other,197,5,16,", APP DEVELOPMENT, AafiSha, Always, Brand name, ChillBeatsMusic, Crowd Evolution!, Cybersecurity Software Development, Daryn.Online, DramaBox - Stream Drama Shorts, Drawing Sketch: Trace Anything, Drawing hacks, EO Broker, FaceLab: Face Editor, Age Swap, FamilyDeal.ro, Fire Remote: TV Remote Control, Fruit Merge: Watermelon Puzzle, Geneva Business School, HUAWEI MatePad 11,5 S Планшеті, KaplanPathways, Lucky VPN - Super fast VPN, Luma Live Wallpaper, Meme shorts, Nursing Degree, Party in My Dorm, Party in my Dorm: College Game, Promova, Prosper, ReelShort, Retake - AI Photographer, ShortTV - Watch Dramas & Shows, ShowMe, Sketch AR, Spreadsheets Crafter, StrawberryNote, Study in the USA, TikTok, TopicBright-110, Twisted Tangle, Ulugbek Umarov, Wallpaper Illustration, collegehubkz, cyber, jtstudy.kz, mnogokartin, romance_kz, serenity, Раздвижная вешалка для брюк"
wanting_elite_outcomes,17,5,19,", Geneva Business School, KIMEP University, caspian.university"
cost_barrier,54,4,9,", Bus Simulator Pro, CallerGlimpse, EO Broker, Logos Education Center, Paint VPN: A New Online World!, Prosper, StrawberryNote, StudyLink, Top Products, YoHo! VPN -  Net Turbo!, adobecreativecloud, studylink.kz, Раздвижная вешалка для брюк"
lack_of_access,20,3,13,"Emirates, James Cook University, KaplanPathways, Party in My Dorm, Roofing_jobs, StrawberryNote, StudyLink, Warehouse Jobs, romance_kz, studylink.kz, اعمل بالخارج"
missing_deadlines,9,3,11,", TopicBright-110, cursos"
overwhelming_choice,16,2,5,"Geneva Business School, KaplanPathways, Queen Mary University of London"
family_pressure,4,2,5,"KalosTV, Nurmarket Group, ShortTV - Watch Dramas & Shows"
fear_of_rejection,1,1,1,KalosTV
no_peer_network,2,1,1,
