angle,count,avg_days,example
scale_credibility,3,8,"Regent's University London, the UK's most industry connected university"
authenticity,9,7,Әйел болу және өзің болу – қалыпты жағдай! Қыздарды қолда – осы видеомен бөліс! 
testimonial,5,6,Masina mea arata uimitor acum!
other,113,6,Free download
outcome_proof,14,5,Masina mea arata uimitor acum!
pov_story,11,5,Do you know maybe your handsome boss would be your future husband?
warning_story,1,5,"The world is nice, but I won’t come here ! She signed the divorce agreement and left forever"
instant_gratification,47,5,Create amazing Christmas photos!
urgency_checklist,41,4,"Hair curlers! Solve split tips in minutes. 50% OFF, last 48 hours!"
price_anchor,48,4,Get yours 50% Off TODAY!
aspiration_lead,51,4,"From classroom to career, make your style at SCAD.   "
social_proof_volume,18,3,Best game of TikTok!
fear_lead,2,1,Dad and Mom will kill me if they found out what happened last night!
feature_lead,2,1,PaperMatte технологиясы бар айқын экран. «Блокнот» қосымшасы. Алынбалы пернетақта. 
